1,text,0.0,Non food poisoning tweet
2,So either @XiberKernel got me sick! or I may have gotten food poisoning. It's gonna be a looooong night,0.6,Food poisoning tweet
3,I got food poisoning í ½í²,0.9,Food poisoning tweet
4,@RogerVilchis pretty much i have food poisoning for the second day in a row.  Hahaha that is fucking awesome í ½í¸,0.9,Food poisoning tweet
5,I think I have food poisoning. I've been throwing up like a sick grade schooler. All. Night.,100.0,Non food poisoning tweet
6,@maggiehendricks Honestly I'm not sure I've had a recognizable case of food poisoning before! so I'm all paranoid about still feeling gross.,0.8,Food poisoning tweet
7,I got food poisoning last Saturday and my guts are still not happy.,0.9,Food poisoning tweet
8,Should I go with pink eye or food poisoning if I call in sick today?,0.15,Non food poisoning tweet
9,@Eroticagoddess4 if we can aim for Friday. Not sure if I have the flu or food poisoning but in lousy shape either way.,0.15,Non food poisoning tweet
10,My puke muscles are all sore after Thursday's food poisoning.,0.0,Non food poisoning tweet
11,Why would I ever order from anywhere other than Taqueria El Ranchito? I've only gotten food poisoning from there once :),0.1,Non food poisoning tweet
12,Sneak Peek! â¢ Monday night food poisoning attacked my body and I slept most of the night on theâ¦ https://t.co/vnreD2JuYW,0.8,Food poisoning tweet
13,I think I got food poisoning í ½í¸·í ½í¸·,100.0,Non food poisoning tweet
14,So this is either food poisoning or the flu.  Either way it seems appropriate for my birthday.,0.0,Non food poisoning tweet
15,I think Amina got food poisoning wtf,100.0,Non food poisoning tweet
16,80% sure I have food poisoning and it is terrible.,0.0,Non food poisoning tweet
17,@OriginalFandoms Well I found out I have gotten food poisoning. Yay me í ½í¸�?í ½í¸�? but I should be going back to school tomorrow.,0.9,Food poisoning tweet
18,Let me find out I have food poisoning and IMA be mad asl.,0.6,Food poisoning tweet
19,Nothing like having food poisoning come on mid show #monslyfe #barflyfe night 1 of growlers @ Lincolnâ¦ https://t.co/VGmjdZCZwP,0.0,Non food poisoning tweet
21,One way to loose those last 7 pounds. Food poisoning. Good thing my guy was there to take care of me the whole day. #swoon #relationship,0.0,Non food poisoning tweet
22,There have been few times where I was scared that I was dying! but food poisoning is definitely the worst one.,0.0,Non food poisoning tweet
23,Have some kind of stomach bug or food poisoning í ½í¸ &amp;&amp; the #ChicagoBlizzard is happening outside â�?ï¸�?â�?ï¸�?í ¼í¼í ¼í¼,0.1,Non food poisoning tweet
